Pos,Ct,Sample,Probe
A1,15.26,HCT116,ACTB
A2,15.78,HCT116-TST-OE,ACTB
A3,16.34,HCT116-shCtrl-t 11/19,ACTB
A4,16.56,HCT116-shTST-1 11/19,ACTB
A5,16.75,HCT116-shTST-2 11/19,ACTB
A6,17.72,HCT116-shCtrl-t 11/24,ACTB
A7,17.61,HCT116-shTST-1 11/24,ACTB
A8,17.36,HCT116-shTST-2 11/24,ACTB
B1,15.25,HCT116,ACTB
B2,15.7,HCT116-TST-OE,ACTB
B3,16.49,HCT116-shCtrl-t 11/19,ACTB
B4,16.34,HCT116-shTST-1 11/19,ACTB
B5,16.6,HCT116-shTST-2 11/19,ACTB
B6,17.26,HCT116-shCtrl-t 11/24,ACTB
B7,17.27,HCT116-shTST-1 11/24,ACTB
B8,17.37,HCT116-shTST-2 11/24,ACTB
C1,15.39,HCT116,ACTB
C2,15.67,HCT116-TST-OE,ACTB
C3,16.6,HCT116-shCtrl-t 11/19,ACTB
C4,16.62,HCT116-shTST-1 11/19,ACTB
C5,16.35,HCT116-shTST-2 11/19,ACTB
C6,17.05,HCT116-shCtrl-t 11/24,ACTB
C7,17.22,HCT116-shTST-1 11/24,ACTB
C8,17.29,HCT116-shTST-2 11/24,ACTB
D1,24.75,HCT116,TST
D2,22.69,HCT116-TST-OE,TST
D3,24.39,HCT116-shCtrl-t 11/19,TST
D4,28.75,HCT116-shTST-1 11/19,TST
D5,28.92,HCT116-shTST-2 11/19,TST
D6,25.69,HCT116-shCtrl-t 11/24,TST
D7,29.16,HCT116-shTST-1 11/24,TST
D8,29.92,HCT116-shTST-2 11/24,TST
E1,24.83,HCT116,TST
E2,23,HCT116-TST-OE,TST
E3,24.24,HCT116-shCtrl-t 11/19,TST
E4,28.85,HCT116-shTST-1 11/19,TST
E5,28.76,HCT116-shTST-2 11/19,TST
E6,25.83,HCT116-shCtrl-t 11/24,TST
E7,29.12,HCT116-shTST-1 11/24,TST
E8,29.04,HCT116-shTST-2 11/24,TST
F1,25.09,HCT116,TST
F2,23.13,HCT116-TST-OE,TST
F3,24.23,HCT116-shCtrl-t 11/19,TST
F4,28.42,HCT116-shTST-1 11/19,TST
F5,28.51,HCT116-shTST-2 11/19,TST
F6,25.24,HCT116-shCtrl-t 11/24,TST
F7,29.36,HCT116-shTST-1 11/24,TST
F8,29.98,HCT116-shTST-2 11/24,TST
