k__Bacteria	clade_marker_size	471.512051684
k__Bacteria.p__Firmicutes.c__Bacilli	clade_marker_size	463.124815039
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	clade_marker_size	463.124815039
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	annotation	*
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	clade_marker_color	#0000cd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	annotation_background_color	#0000cd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc	clade_marker_size	463.124815039
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc	annotation	*:*
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc	clade_marker_color	#0000cd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc	annotation_background_color	#0000cd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	clade_marker_size	463.124815039
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	annotation	*
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	clade_marker_color	#0000cd
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	annotation_background_color	#0000cd
k__Bacteria.p__Firmicutes	clade_marker_size	463.124815039
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Leuconostoc.s__Leuconostoc_unclassified	clade_marker_size	463.124815039
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella.s__Klebsiella_unclassified	clade_marker_size	231.108255491
k__Bacteria.p__Proteobacteria	clade_marker_size	231.108255491
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	clade_marker_size	231.108255491
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	annotation	*
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	clade_marker_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	annotation_background_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	clade_marker_size	231.108255491
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	annotation	*
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	clade_marker_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	annotation_background_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	clade_marker_size	231.108255491
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	annotation	*:*
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	clade_marker_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Klebsiella	annotation_background_color	#006400
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	clade_marker_size	231.108255491
