test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000005	XLOC_000005	LOC643837	chr1:763063-789740	Normal	Disease	OK	11.4997	14.1724	0.301489	2.50766	0.00075	0.00109936	yes
XLOC_000007	XLOC_000007	KLHL17	chr1:895966-901099	Normal	Disease	OK	1.58	5.90581	1.90221	9.21936	5e-05	7.96728e-05	yes
XLOC_000008	XLOC_000008	PLEKHN1	chr1:901876-910484	Normal	Disease	OK	1.45937	2.49283	0.77244	3.02722	0.0001	0.000156483	yes
XLOC_000009	XLOC_000009	ISG15	chr1:948846-949919	Normal	Disease	OK	59.0738	450.561	2.93113	42.0169	5e-05	7.96728e-05	yes
XLOC_000010	XLOC_000010	AGRN	chr1:955502-991499	Normal	Disease	OK	21.3113	25.5949	0.264238	6.91061	5e-05	7.96728e-05	yes
XLOC_000016	XLOC_000016	B3GALT6	chr1:1167628-1170420	Normal	Disease	OK	8.75565	13.5443	0.629403	6.69338	5e-05	7.96728e-05	yes
XLOC_000017	XLOC_000017	SCNN1D	chr1:1215815-1227409	Normal	Disease	OK	0.881342	4.01153	2.18638	8.61966	5e-05	7.96728e-05	yes
XLOC_000023	XLOC_000023	VWA1	chr1:1370902-1378262	Normal	Disease	OK	56.4308	60.5048	0.100567	2.84553	5e-05	7.96728e-05	yes
XLOC_000024	XLOC_000024	ATAD3C	chr1:1385068-1405538	Normal	Disease	OK	1.60279	3.12793	0.964626	5.41193	5e-05	7.96728e-05	yes
XLOC_000025	XLOC_000025	ATAD3B	chr1:1407163-1431582	Normal	Disease	OK	2.39723	6.91875	1.52914	8.69578	5e-05	7.96728e-05	yes
XLOC_000026	XLOC_000026	ATAD3A	chr1:1447522-1470067	Normal	Disease	OK	4.58	8.3646	0.868948	6.33461	5e-05	7.96728e-05	yes
XLOC_000027	XLOC_000027	MIB2	chr1:1550794-1565990	Normal	Disease	OK	7.88305	14.0643	0.835208	9.21375	5e-05	7.96728e-05	yes
XLOC_000036	XLOC_000036	TNFRSF14	chr1:2487207-2495267	Normal	Disease	OK	46.3963	69.2876	0.578586	10.0021	5e-05	7.96728e-05	yes
XLOC_000037	XLOC_000037	FAM213B	chr1:2517898-2564481	Normal	Disease	OK	14.2362	22.4142	0.654851	8.44485	5e-05	7.96728e-05	yes
XLOC_000045	XLOC_000045	LOC388588	chr1:3689351-3692546	Normal	Disease	OK	11.0005	21.328	0.95518	4.37881	5e-05	7.96728e-05	yes
XLOC_000053	XLOC_000053	RNF207	chr1:6266188-6296044	Normal	Disease	OK	2.59631	7.32085	1.49555	11.3406	5e-05	7.96728e-05	yes
XLOC_000304	XLOC_000304	RLF	chr1:40627040-40706593	Normal	Disease	OK	5.09443	6.00515	0.237279	2.7557	0.00015	0.000231891	yes
XLOC_000306	XLOC_000306	ZMPSTE24	chr1:40723732-40759856	Normal	Disease	OK	23.0812	34.132	0.564409	10.3377	5e-05	7.96728e-05	yes
XLOC_000315	XLOC_000315	KCNQ4	chr1:41249683-41306124	Normal	Disease	OK	0.965831	1.80169	0.899505	3.88085	5e-05	7.96728e-05	yes
XLOC_000316	XLOC_000316	CTPS	chr1:41445006-41478235	Normal	Disease	OK	9.31711	10.2686	0.140282	1.53186	0.0305	0.0379985	yes
XLOC_000317	XLOC_000317	LOC100507178	chr1:41480261-41707815	Normal	Disease	OK	0.277043	2.30546	3.05687	8.97529	5e-05	7.96728e-05	yes
XLOC_000319	XLOC_000319	RIMKLA	chr1:42846467-42889900	Normal	Disease	OK	0.554148	0.903856	0.70582	3.81446	5e-05	7.96728e-05	yes
XLOC_000320	XLOC_000320	PPCS	chr1:42922172-42926086	Normal	Disease	OK	50.2382	56.0429	0.157746	2.14785	0.00185	0.0026147	yes
XLOC_000321	XLOC_000321	CCDC30	chr1:43000559-43120335	Normal	Disease	OK	1.10393	2.06308	0.902145	3.70215	5e-05	7.96728e-05	yes
XLOC_000324	XLOC_000324	C1orf50	chr1:43232915-43241413	Normal	Disease	OK	12.8536	19.1091	0.57208	3.89657	5e-05	7.96728e-05	yes
XLOC_000326	XLOC_000326	ERMAP	chr1:43272722-43310660	Normal	Disease	OK	7.74305	8.92111	0.204323	2.07833	0.0033	0.00455262	yes
XLOC_000328	XLOC_000328	FLJ32224	chr1:43391045-43449029	Normal	Disease	OK	1.06001	3.84462	1.85876	4.59267	5e-05	7.96728e-05	yes
XLOC_000521	XLOC_000521	PTBP2	chr1:97187174-97280605	Normal	Disease	OK	4.52814	7.69135	0.764318	6.64907	5e-05	7.96728e-05	yes
XLOC_000527	XLOC_000527	AGL	chr1:100315639-100389579	Normal	Disease	OK	3.67221	4.59835	0.324469	3.46267	5e-05	7.96728e-05	yes
XLOC_000530	XLOC_000530	CCDC76	chr1:100598705-100643829	Normal	Disease	OK	3.06745	6.68889	1.12473	7.88736	5e-05	7.96728e-05	yes
XLOC_000531	XLOC_000531	RTCD1	chr1:100731713-100758325	Normal	Disease	OK	10.9617	16.8493	0.620219	6.88669	5e-05	7.96728e-05	yes
XLOC_000536	XLOC_000536	SLC30A7	chr1:101361631-101447311	Normal	Disease	OK	6.33863	10.2004	0.686378	10.5899	5e-05	7.96728e-05	yes
XLOC_000539	XLOC_000539	AMY2B,RNPC3	chr1:104068577-104122149	Normal	Disease	OK	5.43973	36.648	2.75213	22.3079	5e-05	7.96728e-05	yes
XLOC_000545	XLOC_000545	PRMT6	chr1:107599266-107601916	Normal	Disease	OK	10.3621	14.3557	0.470309	5.15217	5e-05	7.96728e-05	yes
XLOC_000546	XLOC_000546	NTNG1	chr1:107682628-108024475	Normal	Disease	OK	2.95128	9.35301	1.66409	11.6657	5e-05	7.96728e-05	yes
XLOC_000549	XLOC_000549	PRPF38B	chr1:109234931-109244422	Normal	Disease	OK	22.0589	86.7428	1.97538	40.4929	5e-05	7.96728e-05	yes
