test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_000005	XLOC_000005	LOC643837	chr1:763063-789740	Normal	Disease	OK	11.4997	14.1724	0.301489	2.50766	0.00075	0.00109936	yes
XLOC_000007	XLOC_000007	KLHL17	chr1:895966-901099	Normal	Disease	OK	1.58	5.90581	1.90221	9.21936	5e-05	7.96728e-05	yes
XLOC_000008	XLOC_000008	PLEKHN1	chr1:901876-910484	Normal	Disease	OK	1.45937	2.49283	0.77244	3.02722	0.0001	0.000156483	yes
XLOC_000009	XLOC_000009	ISG15	chr1:948846-949919	Normal	Disease	OK	59.0738	450.561	2.93113	42.0169	5e-05	7.96728e-05	yes
XLOC_000010	XLOC_000010	AGRN	chr1:955502-991499	Normal	Disease	OK	21.3113	25.5949	0.264238	6.91061	5e-05	7.96728e-05	yes
XLOC_000016	XLOC_000016	B3GALT6	chr1:1167628-1170420	Normal	Disease	OK	8.75565	13.5443	0.629403	6.69338	5e-05	7.96728e-05	yes
XLOC_000017	XLOC_000017	SCNN1D	chr1:1215815-1227409	Normal	Disease	OK	0.881342	4.01153	2.18638	8.61966	5e-05	7.96728e-05	yes
XLOC_000023	XLOC_000023	VWA1	chr1:1370902-1378262	Normal	Disease	OK	56.4308	60.5048	0.100567	2.84553	5e-05	7.96728e-05	yes
XLOC_000024	XLOC_000024	ATAD3C	chr1:1385068-1405538	Normal	Disease	OK	1.60279	3.12793	0.964626	5.41193	5e-05	7.96728e-05	yes
XLOC_000025	XLOC_000025	ATAD3B	chr1:1407163-1431582	Normal	Disease	OK	2.39723	6.91875	1.52914	8.69578	5e-05	7.96728e-05	yes
XLOC_000026	XLOC_000026	ATAD3A	chr1:1447522-1470067	Normal	Disease	OK	4.58	8.3646	0.868948	6.33461	5e-05	7.96728e-05	yes
XLOC_000027	XLOC_000027	MIB2	chr1:1550794-1565990	Normal	Disease	OK	7.88305	14.0643	0.835208	9.21375	5e-05	7.96728e-05	yes
XLOC_000036	XLOC_000036	TNFRSF14	chr1:2487207-2495267	Normal	Disease	OK	46.3963	69.2876	0.578586	10.0021	5e-05	7.96728e-05	yes
XLOC_000037	XLOC_000037	FAM213B	chr1:2517898-2564481	Normal	Disease	OK	14.2362	22.4142	0.654851	8.44485	5e-05	7.96728e-05	yes
XLOC_000045	XLOC_000045	LOC388588	chr1:3689351-3692546	Normal	Disease	OK	11.0005	21.328	0.95518	4.37881	5e-05	7.96728e-05	yes
XLOC_000053	XLOC_000053	RNF207	chr1:6266188-6296044	Normal	Disease	OK	2.59631	7.32085	1.49555	11.3406	5e-05	7.96728e-05	yes
XLOC_000057	XLOC_000057	ZBTB48	chr1:6640062-6649340	Normal	Disease	OK	10.3903	14.4835	0.479174	4.93115	5e-05	7.96728e-05	yes
XLOC_000059	XLOC_000059	THAP3	chr1:6684924-6761966	Normal	Disease	OK	11.5465	17.3612	0.588407	4.78813	5e-05	7.96728e-05	yes
XLOC_000060	XLOC_000060	CAMTA1	chr1:6845383-7829766	Normal	Disease	OK	63.2429	87.6582	0.470986	6.14872	5e-05	7.96728e-05	yes
XLOC_000063	XLOC_000063	PARK7	chr1:8021713-8045342	Normal	Disease	OK	240.899	274.957	0.190783	4.84078	5e-05	7.96728e-05	yes
XLOC_000069	XLOC_000069	SLC25A33	chr1:9599527-9642831	Normal	Disease	OK	6.77516	12.433	0.87585	5.91959	5e-05	7.96728e-05	yes
XLOC_000079	XLOC_000079	TARDBP	chr1:11072678-11085549	Normal	Disease	OK	39.9511	41.8382	0.0665868	1.73469	0.0145	0.0187499	yes
XLOC_000083	XLOC_000083	FBXO44	chr1:11708417-11723384	Normal	Disease	OK	10.0394	15.2107	0.599409	6.91342	5e-05	7.96728e-05	yes
XLOC_000086	XLOC_000086	AGTRAP	chr1:11796141-11810828	Normal	Disease	OK	67.156	87.2079	0.376943	6.37227	5e-05	7.96728e-05	yes
XLOC_000111	XLOC_000111	PRDM2	chr1:14026734-14151574	Normal	Disease	OK	19.6189	23.4841	0.25944	5.01832	5e-05	7.96728e-05	yes
XLOC_000119	XLOC_000119	DNAJC16	chr1:15853351-15911605	Normal	Disease	OK	7.11368	8.24258	0.2125	2.75956	5e-05	7.96728e-05	yes
XLOC_000122	XLOC_000122	SLC25A34	chr1:16062808-16067884	Normal	Disease	OK	0.423878	1.79669	2.08362	5.93982	5e-05	7.96728e-05	yes
XLOC_000132	XLOC_000132	MST1P2	chr1:16972068-16976915	Normal	Disease	OK	0.27716	1.50202	2.43811	5.20902	5e-05	7.96728e-05	yes
XLOC_000134	XLOC_000134	CROCC	chr1:17248444-17299474	Normal	Disease	OK	2.77251	5.69789	1.03924	10.3042	5e-05	7.96728e-05	yes
XLOC_000144	XLOC_000144	MRTO4	chr1:19578074-19586622	Normal	Disease	OK	15.5281	22.7081	0.548327	6.82368	5e-05	7.96728e-05	yes
XLOC_000145	XLOC_000145	PQLC2	chr1:19638739-19655794	Normal	Disease	OK	8.30454	11.8586	0.513959	4.08716	5e-05	7.96728e-05	yes
XLOC_000148	XLOC_000148	OTUD3	chr1:20208887-20239437	Normal	Disease	OK	3.13535	4.02227	0.359386	3.42331	5e-05	7.96728e-05	yes
XLOC_000149	XLOC_000149	PLA2G5	chr1:20396700-20418394	Normal	Disease	OK	3.20561	10.6866	1.73713	10.1743	5e-05	7.96728e-05	yes
XLOC_000156	XLOC_000156	LOC100506801	chr1:21543739-21672034	Normal	Disease	OK	0.132696	1.06929	3.01045	4.38499	0.00025	0.000379973	yes
XLOC_000159	XLOC_000159	LDLRAD2	chr1:22138757-22263750	Normal	Disease	OK	0.859161	31.1504	5.18018	19.9375	5e-05	7.96728e-05	yes
XLOC_000162	XLOC_000162	LINC00339	chr1:22351706-22357715	Normal	Disease	OK	15.9094	22.0531	0.471102	3.7155	5e-05	7.96728e-05	yes
